fold,r,method,shrinkage_alpha,cov_scale
1,5,PPLS-SLM-Manifold-Adaptive,10.0,0.984553918131953
2,5,PPLS-SLM-Manifold-Adaptive,10.0,0.984509917986803
3,5,PPLS-SLM-Manifold-Adaptive,10.0,0.9845192666419781
1,10,PPLS-SLM-Manifold-Adaptive,5.0,0.9865596129602318
2,10,PPLS-SLM-Manifold-Adaptive,5.0,0.9861090126706608
3,10,PPLS-SLM-Manifold-Adaptive,5.0,0.986241321216118
1,15,PPLS-SLM-Manifold-Adaptive,0.1,1.0058482577437824
2,15,PPLS-SLM-Manifold-Adaptive,10.0,0.9786710330778878
3,15,PPLS-SLM-Manifold-Adaptive,0.1,1.0061548933577191
1,20,PPLS-SLM-Manifold-Adaptive,10.0,0.9763685744570938
2,20,PPLS-SLM-Manifold-Adaptive,0.1,1.0112999531723408
3,20,PPLS-SLM-Manifold-Adaptive,10.0,0.9761753414701827
1,30,PPLS-SLM-Manifold-Adaptive,1.0,0.9998614195301867
2,30,PPLS-SLM-Manifold-Adaptive,1.0,1.000378131563566
3,30,PPLS-SLM-Manifold-Adaptive,1.0,0.9995839321287496
